GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Kira,com.kira.shop.config,CacheConfiguration,0,95,0,2,0,25,0,10,0,9
Kira,com.kira.shop.config,StaticResourcesWebConfiguration,70,0,0,0,13,0,7,0,7,0
Kira,com.kira.shop.config,LocaleConfiguration,0,24,0,0,0,8,0,3,0,3
Kira,com.kira.shop.config,JacksonConfiguration,0,23,0,0,0,6,0,6,0,6
Kira,com.kira.shop.config,LiquibaseConfiguration,4,91,1,1,1,21,1,2,0,2
Kira,com.kira.shop.config,CloudDatabaseConfiguration,15,0,0,0,4,0,2,0,2,0
Kira,com.kira.shop.config,WebConfigurer,50,141,10,6,11,33,9,6,1,6
Kira,com.kira.shop.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Kira,com.kira.shop.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
Kira,com.kira.shop.config,LoggingConfiguration,11,51,5,5,3,14,5,1,0,1
Kira,com.kira.shop.config,DatabaseConfiguration,0,7,0,0,0,2,0,1,0,1
Kira,com.kira.shop.config,SecurityConfiguration,0,212,0,0,0,52,0,5,0,5
Kira,com.kira.shop.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Kira,com.kira.shop.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
Kira,com.kira.shop.security,SpringSecurityAuditorAware,0,9,0,0,0,2,0,2,0,2
Kira,com.kira.shop.security,DomainUserDetailsService,20,111,0,4,0,20,2,8,2,6
Kira,com.kira.shop.security,UserNotActivatedException,5,4,0,0,2,2,1,1,1,1
Kira,com.kira.shop.security,SecurityUtils,67,22,11,3,15,7,12,3,6,2
Kira,com.kira.shop.web.rest,AuditResource,0,60,0,0,0,12,0,4,0,4
Kira,com.kira.shop.web.rest,AccountResource.AccountResourceException,0,4,0,0,0,2,0,1,0,1
Kira,com.kira.shop.web.rest,UserJWTController.JWTToken,4,9,0,0,2,4,1,2,1,2
Kira,com.kira.shop.web.rest,UserJWTController,0,67,0,2,0,13,0,3,0,2
Kira,com.kira.shop.web.rest,AccountResource,12,197,2,22,1,48,3,21,1,11
